sample_name,anonymized_name,cohort,collection_timestamp,description,dna_extracted,elevation,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,genotype,genotype_sex,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_life_stage,host_scientific_name,host_subject_id,host_taxid,keep,latitude,longitude,physical_specimen_location,physical_specimen_remaining,qiita_study_id,sample_type,scientific_name,sex,study_type,taxon_id,title,tube_id
14748.BLANK.AGMP.5.5F,,not applicable,2020-22-12,BLANK.AGMP.5.5F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.5.5F,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.5.5F
14748.CAGE1.FSPF3XTG.L10.1,CAGE1.FSPF3XTG.L10.1,COHORT 1,3/20/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,10,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132137
14748.CAGE1.FSPF3XTG.L10.2,CAGE1.FSPF3XTG.L10.2,COHORT 1,3/20/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,10,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132146
14748.CAGE1.FSPF3XTG.L11.1,CAGE1.FSPF3XTG.L11.1,COHORT 1,04/06/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,11,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132156
14748.CAGE1.FSPF3XTG.L11.2,CAGE1.FSPF3XTG.L11.2,COHORT 1,04/06/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,11,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132162
14748.CAGE1.FSPF3XTG.L12.1,CAGE1.FSPF3XTG.L12.1,COHORT 1,05/11/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,12,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132140
14748.CAGE1.FSPF3XTG.L12.2,CAGE1.FSPF3XTG.L12.2,COHORT 1,05/11/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,12,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132147
14748.CAGE1.FSPF3XTG.L13.1,CAGE1.FSPF3XTG.L13.1,COHORT 1,06/08/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,13,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132170
14748.CAGE1.FSPF3XTG.L13.2,CAGE1.FSPF3XTG.L13.2,COHORT 1,06/08/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,13,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132171
14748.CAGE1.FSPF3XTG.L14.1,CAGE1.FSPF3XTG.L14.1,COHORT 1,7/13/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,14,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131345
14748.CAGE1.FSPF3XTG.L14.2,CAGE1.FSPF3XTG.L14.2,COHORT 1,7/13/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,14,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131356
14748.CAGE1.FSPF3XTG.L15.1,CAGE1.FSPF3XTG.L15.1,COHORT 1,8/18/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,15,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131295
14748.CAGE1.FSPF3XTG.L15.2,CAGE1.FSPF3XTG.L15.2,COHORT 1,8/18/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,15,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131308
14748.CAGE1.FSPF3XTG.L7.1,CAGE1.FSPF3XTG.L7.1,COHORT 1,12/20/19,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,7,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 1,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132145
14748.CAGE12.FSPF3XTG.L10.1,CAGE12.FSPF3XTG.L10.1,COHORT 2,7/13/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,10,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131330
14748.CAGE12.FSPF3XTG.L10.2,CAGE12.FSPF3XTG.L10.2,COHORT 2,7/13/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,10,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131339
14748.CAGE12.FSPF3XTG.L12.1,CAGE12.FSPF3XTG.L12.1,COHORT 2,8/18/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,12,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131366
14748.CAGE12.FSPF3XTG.L12.2,CAGE12.FSPF3XTG.L12.2,COHORT 2,8/18/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,12,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131361
14748.CAGE12.FSPF3XTG.L13.1,CAGE12.FSPF3XTG.L13.1,COHORT 2,9/18/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,13,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132288
14748.CAGE12.FSPF3XTG.L13.2,CAGE12.FSPF3XTG.L13.2,COHORT 2,9/18/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,13,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132296
14748.CAGE12.FSPF3XTG.L4.1,CAGE12.FSPF3XTG.L4.1,COHORT 2,12/20/19,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,4,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132209
14748.CAGE12.FSPF3XTG.L5.1,CAGE12.FSPF3XTG.L5.1,COHORT 2,1/28/20,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,5,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132215
14748.CAGE12.FSPF3XTG.L6.1,CAGE12.FSPF3XTG.L6.1,COHORT 2,03/02/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,6,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132231
14748.CAGE12.FSPF3XTG.L6.2,CAGE12.FSPF3XTG.L6.2,COHORT 2,03/02/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,6,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132228
14748.CAGE12.FSPF3XTG.L7.1,CAGE12.FSPF3XTG.L7.1,COHORT 2,04/06/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,7,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132139
14748.CAGE12.FSPF3XTG.L7.2,CAGE12.FSPF3XTG.L7.2,COHORT 2,04/06/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,7,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132151
14748.CAGE12.FSPF3XTG.L8.1,CAGE12.FSPF3XTG.L8.1,COHORT 2,05/11/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,8,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363132219
14748.CAGE12.FSPF3XTG.L8.2,CAGE12.FSPF3XTG.L8.2,COHORT 2,05/11/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,8,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131274
14748.CAGE12.FSPF3XTG.L9.1,CAGE12.FSPF3XTG.L9.1,COHORT 2,06/08/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,9,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131302
14748.CAGE12.FSPF3XTG.L9.2,CAGE12.FSPF3XTG.L9.2,COHORT 2,06/08/2020,,FALSE,263,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,3XTG,3XTG_female,USA:CA:Pasadena,9,months,UBERON:feces,UBERON:feces,UBERON:feces,mouse,adult,Mus musculus,CAGE 12,10090,TRUE,34.1,118.13,CalTech,FALSE,14748,feces,mouse gut metagenome,female,Longitudinal,410661,Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project,363131301
