id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
13_sirius_58	C3H8NOP	[M + K]+	C3H8NOP	Amino acids and Peptides	0.7617843747138977	Small peptides	0.8666131496429443	Aminoacids	0.6971577405929565	Organonitrogen compounds	0.9847483038902283					Organonitrogen compounds	0.9847483038902283	Organic nitrogen compounds	0.9999759197235107	Organic compounds; Organonitrogen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	58
14_sirius_64	C3H8N2O6	[M - H2O + H]+	C3H6N2O5	Amino acids and Peptides	0.8970851898193359	Small peptides	0.8049064874649048	Aminoacids	0.5235146880149841	Alpha amino acids	0.5665698051452637	Amino acids and derivatives	0.30554744601249695	Amino acids, peptides, and analogues	0.31327134370803833	Carboxylic acids and derivatives	0.6583706140518188	Organic acids and derivatives	0.9609395265579224	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Alkanolamines; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	64
15_sirius_65	CH5NO6	[M - H2O + H]+	CH3NO5	Amino acids and Peptides	0.7994258403778076	Small peptides	0.8643895983695984	Aminoacids	0.8588427901268005	Alkanolamines	0.6393967866897583	Alkanolamines	0.6393967866897583	Amines	0.989025890827179	Organonitrogen compounds	0.2376394271850586	Organic nitrogen compounds	0.9999607801437378	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	65
16_sirius_67	C2H8N2O5	[M + H]+	C2H8N2O5	Amino acids and Peptides	0.120406374335289	Small peptides	0.23263242840766907	Aminoacids	0.14885272085666656	Alkanolamines	0.8447153568267822	Alkanolamines	0.8447153568267822	Amines	0.9192854166030884	Organonitrogen compounds	0.9944620728492737	Organic nitrogen compounds	0.9999978542327881	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	67
17_sirius_70	C2H6N2O4	[M + H]+	C2H6N2O4	Amino acids and Peptides	0.9576569199562073	Small peptides	0.9058302044868469	Aminoacids	0.8523002862930298	Alkanolamines	0.6360141634941101	Alkanolamines	0.6360141634941101	Amines	0.5923030376434326	Organonitrogen compounds	0.9019955992698669	Organic nitrogen compounds	0.9999767541885376	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	70
20_sirius_73	C3H6N3O2P	[M + K]+	C3H6N3O2P	Amino acids and Peptides	0.46447762846946716	Small peptides	0.6145337224006653	Aminoacids	0.31856268644332886	Azacyclic compounds	0.8824591636657715					Azacyclic compounds	0.8824591636657715	Organoheterocyclic compounds	0.8196824193000793	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	73
21_sirius_76	C11H26N4	[M + H]+	C11H26N4	Alkaloids	0.9998546838760376	Ornithine alkaloids	0.7307960987091064	Polyamines	0.6769644618034363	Trialkylamines	0.7770413160324097	Tertiary amines	0.8275041580200195	Amines	0.9999687671661377	Organonitrogen compounds	1.0	Organic nitrogen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Trialkylamines; Amines; Primary amines; Secondary amines; Tertiary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	76
22_sirius_77	C7H16N2	[M + H]+	C7H16N2	Alkaloids	0.9721843004226685	Lysine alkaloids	0.6413439512252808	Piperidine alkaloids	0.5081886053085327	Aminopiperidines	0.9546305537223816			Aminopiperidines	0.9546305537223816	Piperidines	0.8439887166023254	Organoheterocyclic compounds	0.9912715554237366	Organic compounds; Organoheterocyclic compounds; Piperidines; Organonitrogen compounds; Monoalkylamines; Trialkylamines; Aminopiperidines; Amines; Primary amines; Tertiary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	77
23_sirius_79	CH5N2O3P	[M + K]+	CH5N2O3P	Amino acids and Peptides	0.8353524208068848	Small peptides	0.9493977427482605	Aminoacids	0.9310005307197571	Azacyclic compounds	0.5466129183769226					Azacyclic compounds	0.5466129183769226	Organoheterocyclic compounds	0.5839836001396179	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	79
24_sirius_80	C10H26N4	[M + H]+	C10H26N4	Alkaloids	0.9999933242797852	Ornithine alkaloids	0.9999126195907593	Polyamines	0.9977838397026062	Dialkylamines	0.9996370077133179	Secondary amines	0.9995688796043396	Amines	0.9999983310699463	Organonitrogen compounds	1.0	Organic nitrogen compounds	1.0	Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	80
25_sirius_81	C7H16N2	[M + H3N + H]+	C7H19N3	Alkaloids	0.9882470965385437	Lysine alkaloids	0.7503750920295715	Polyamines	0.43886464834213257	Tertiary amines	0.7391979694366455	Tertiary amines	0.7391979694366455	Amines	0.9999483823776245	Organonitrogen compounds	0.9999997615814209	Organic nitrogen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Tertiary amines; Organic cations; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	81
27_sirius_104	C5H11NO2	[M + K]+	C5H11NO2	Fatty acids	0.7110064625740051	Fatty Acids and Conjugates	0.5246323943138123	Aminoacids	0.34918728470802307	Amino acids and derivatives	0.5408680438995361	Amino acids and derivatives	0.5408680438995361	Amino acids, peptides, and analogues	0.5428930521011353	Carboxylic acids and derivatives	0.7563619613647461	Organic acids and derivatives	0.5498322248458862	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	104
28_sirius_106	C6H14N4O2	[M + H]+	C6H14N4O2	Amino acids and Peptides	0.9999411106109619	Small peptides	0.999976396560669	Aminoacids	0.9982885718345642	L-alpha-amino acids	0.5989490747451782	Amino acids and derivatives	0.9999877214431763	Amino acids, peptides, and analogues	0.9999880790710449	Carboxylic acids and derivatives	0.9999887943267822	Organic acids and derivatives	0.9999960660934448	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	106
29_sirius_123	C12H6O6P2S	[M + Na]+	C12H6O6P2S	Shikimates and Phenylpropanoids	0.9913934469223022	Coumarins	0.7549479007720947	Simple coumarins	0.5798070430755615	Benzenoids	0.9985122084617615							Benzenoids	0.9985122084617615	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organooxygen compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	123
30_sirius_126	C6H10O4P2S2	[M + Na]+	C6H10O4P2S2	Fatty acids	0.4184514880180359	Fatty acyls	0.07327020913362503	Wax monoesters	0.11901900172233582	Dithiophosphate S-esters	0.6866315603256226			Dithiophosphate S-esters	0.6866315603256226	Organic dithiophosphoric acids and derivatives	0.5657596588134766	Organic acids and derivatives	0.5344458222389221	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organothiophosphorus compounds; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Dithiophosphate S-esters; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organic oxygen compounds; Chemical entities	126
33_sirius_138	C8H20NO6P	[M + K]+	C8H20NO6P	Fatty acids	0.7930204272270203	Glycerophospholipids	0.8838642239570618	Glycerophosphocholines	0.9696253538131714	Phosphocholines	0.9996442794799805	Cholines	0.9998500347137451	Quaternary ammonium salts	0.9999698400497437	Organonitrogen compounds	0.999948263168335	Organic nitrogen compounds	0.9999654293060303	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138
34_sirius_145	C5H14NO4P	[M + K]+	C5H14NO4P	Fatty acids	0.3603030741214752	Glycerophospholipids	0.24597196280956268	Glycerophosphocholines	0.06106352433562279	Phosphocholines	0.9083077311515808	Cholines	0.9187138676643372	Quaternary ammonium salts	0.9998983144760132	Organonitrogen compounds	0.9999902248382568	Organic nitrogen compounds	0.999994158744812	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Amines; Alkyl phosphates; Monoalkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	145
35_sirius_168	C5H11NO2	[M + Na]+	C5H11NO2	Fatty acids	0.6406747102737427	Small peptides	0.4336435794830322	Aminoacids	0.6035628318786621	Beta amino acids and derivatives	0.5695820450782776	Amino acids and derivatives	0.8736655116081238	Amino acids, peptides, and analogues	0.8674442172050476	Carboxylic acids and derivatives	0.8777920007705688	Organic acids and derivatives	0.8039193153381348	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Beta amino acids and derivatives; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	168
36_sirius_178	C4H9N3O2	[M + K]+	C4H9N3O2	Amino acids and Peptides	0.9365916848182678	Small peptides	0.9752057790756226	Aminoacids	0.9413262605667114	Alpha amino acids and derivatives	0.9774084687232971	Amino acids and derivatives	0.9601867198944092	Amino acids, peptides, and analogues	0.9605596661567688	Carboxylic acids and derivatives	0.9730371832847595	Organic acids and derivatives	0.9856489896774292	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	178
37_sirius_184	C6H12O6	[M + Na]+	C6H12O6	Carbohydrates	0.941253125667572	Saccharides	0.9700626730918884	Monosaccharides	0.7669969201087952	Hexoses	0.6955046653747559	Monosaccharides	0.9556737542152405	Carbohydrates and carbohydrate conjugates	0.9899611473083496	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	184
38_sirius_186	C4H9N3O2	[M + Na]+	C4H9N3O2	Amino acids and Peptides	0.9716420769691467	Small peptides	0.9882347583770752	Aminoacids	0.9759355187416077	Alpha amino acids and derivatives	0.7700403928756714	Amino acids and derivatives	0.7877418398857117	Amino acids, peptides, and analogues	0.78934645652771	Carboxylic acids and derivatives	0.9939192533493042	Organic acids and derivatives	0.9979950189590454	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	186
39_sirius_187	C5H10N2O3	[M + K]+	C5H10N2O3	Amino acids and Peptides	0.8932954668998718	Small peptides	0.9007746577262878	Aminoacids	0.7854138612747192	Straight chain fatty acids	0.7967252731323242	Straight chain fatty acids	0.7967252731323242	Fatty acids and conjugates	0.6204774379730225	Fatty Acyls	0.8907679915428162	Lipids and lipid-like molecules	0.8577497601509094	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Straight chain fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	187
40_sirius_193	C5H10N2O3	[M + Na]+	C5H10N2O3	Amino acids and Peptides	0.9823793768882751	Small peptides	0.9972018003463745	Aminoacids	0.9205077886581421	Glutamine and derivatives	0.5414917469024658	Amino acids and derivatives	0.9744284749031067	Amino acids, peptides, and analogues	0.973893940448761	Carboxylic acids and derivatives	0.9992651343345642	Organic acids and derivatives	0.999988317489624	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	193
41_sirius_195	C9H17NO5	[M + H]+	C9H17NO5	Carbohydrates	0.321740984916687	Small peptides	0.136129230260849	Dipeptides	0.8779165148735046	N-acyl amines	0.9725180268287659	N-acyl amines	0.9725180268287659	Fatty amides	0.9727411866188049	Fatty Acyls	0.9582703113555908	Lipids and lipid-like molecules	0.9647460579872131	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	195
42_sirius_206	C8H18N6O4	[M + H]+	C8H18N6O4	Amino acids and Peptides	0.997239351272583	Small peptides	0.9989946484565735	Aminoacids	0.573069155216217	Peptides	0.5832405090332031	Peptides	0.5832405090332031	Amino acids, peptides, and analogues	0.9992170333862305	Carboxylic acids and derivatives	0.9998146891593933	Organic acids and derivatives	0.9999672174453735	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Alanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	206
43_sirius_212	C9H20N4O4	[M + H]+	C9H20N4O4	Amino acids and Peptides	0.8678081631660461	Small peptides	0.9206236004829407	Aminoacids	0.6260054111480713	Alpha amino acids and derivatives	0.740277886390686	Amino acids and derivatives	0.9578108787536621	Amino acids, peptides, and analogues	0.9551921486854553	Carboxylic acids and derivatives	0.7992206811904907	Organic acids and derivatives	0.9904178977012634	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Organic carbonic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Methyl-branched fatty acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	212
44_sirius_213	C7H13NO2	[M + H]+	C7H13NO2	Amino acids and Peptides	0.6078817844390869	Small peptides	0.3875712752342224	Pyrrolidine alkaloids	0.6320046782493591	Alpha amino acids	0.7805126905441284	Amino acids and derivatives	0.940605103969574	Amino acids, peptides, and analogues	0.9353897571563721	Carboxylic acids and derivatives	0.9998177886009216	Organic acids and derivatives	0.9997226595878601	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Piperidines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acid salts; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Piperidinecarboxylic acids; Amines; N-alkylpyrrolidines; Organic cations; Organic salts; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Tetraalkylammonium salts; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	213
45_sirius_214	C4H9N3O2	[M + H]+	C4H9N3O2	Amino acids and Peptides	0.9890303015708923	Small peptides	0.998494029045105	Aminoacids	0.9791213870048523	Alpha amino acids and derivatives	0.9499826431274414	Amino acids and derivatives	0.9830285310745239	Amino acids, peptides, and analogues	0.9843859076499939	Carboxylic acids and derivatives	0.9999340772628784	Organic acids and derivatives	0.9999939203262329	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214
