bitscore,evalue,gapopen,identification,length,mismatch,pident,qend,qlen,qseqid,qstart,qtitle,send,slen,sseqid,sstart,stitle
25.0,6.03e-05,0,363131347,21,9,57.1,53,151,A00953:711:H3W2YDSX7:4:1436:27444:16297,115,A00953:711:H3W2YDSX7:4:1436:27444:16297,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
27.7,6.19e-06,0,363131347,29,15,48.3,24,151,A00953:711:H3W2YDSX7:4:1624:15745:13448,110,A00953:711:H3W2YDSX7:4:1624:15745:13448,70,374,WP_003492354.1,42,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131347,21,9,57.1,80,151,A00953:711:H3W2YDSX7:4:2238:4291:22482,18,A00953:711:H3W2YDSX7:4:2238:4291:22482,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,102,151,A00953:711:H3W2YDSX7:4:2246:28393:30874,40,A00953:711:H3W2YDSX7:4:2246:28393:30874,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.18e-05,0,363131347,21,9,57.1,127,151,A00953:711:H3W2YDSX7:4:2437:8296:7592,65,A00953:711:H3W2YDSX7:4:2437:8296:7592,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,41,151,A00953:711:H3W2YDSX7:4:2539:25075:4147,103,A00953:711:H3W2YDSX7:4:2539:25075:4147,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.61e-05,0,363131347,21,9,57.1,68,151,A00953:711:H3W2YDSX7:4:2556:27254:13182,6,A00953:711:H3W2YDSX7:4:2556:27254:13182,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,105,151,A00953:711:H3W2YDSX7:4:2556:1398:33285,43,A00953:711:H3W2YDSX7:4:2556:1398:33285,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.05e-05,0,363132092,21,9,57.1,69,151,A00953:711:H3W2YDSX7:4:1125:27896:25222,131,A00953:711:H3W2YDSX7:4:1125:27896:25222,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.23e-05,0,363132092,21,9,57.1,66,130,A00953:711:H3W2YDSX7:4:1140:2962:19805,4,A00953:711:H3W2YDSX7:4:1140:2962:19805,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,138,151,A00953:711:H3W2YDSX7:4:1177:2980:35023,76,A00953:711:H3W2YDSX7:4:1177:2980:35023,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363132092,21,9,57.1,27,151,A00953:711:H3W2YDSX7:4:1207:17987:33583,89,A00953:711:H3W2YDSX7:4:1207:17987:33583,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
58.9,5.43e-17,1,363132092,49,21,55.1,4,151,A00953:711:H3W2YDSX7:4:1223:27181:15468,150,A00953:711:H3W2YDSX7:4:1223:27181:15468,79,374,WP_003492354.1,32,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
61.6,5.5e-18,0,363132092,48,23,52.1,146,147,A00953:711:H3W2YDSX7:4:1351:9155:28995,3,A00953:711:H3W2YDSX7:4:1351:9155:28995,113,374,WP_003492354.1,66,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363132092,21,9,57.1,104,151,A00953:711:H3W2YDSX7:4:1365:5755:34225,42,A00953:711:H3W2YDSX7:4:1365:5755:34225,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,108,151,A00953:711:H3W2YDSX7:4:1401:6063:27931,46,A00953:711:H3W2YDSX7:4:1401:6063:27931,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363132092,21,9,57.1,64,151,A00953:711:H3W2YDSX7:4:1418:25780:14168,2,A00953:711:H3W2YDSX7:4:1418:25780:14168,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
46.2,1.71e-12,0,363132092,39,19,51.3,135,151,A00953:711:H3W2YDSX7:4:1418:5348:17300,19,A00953:711:H3W2YDSX7:4:1418:5348:17300,272,374,WP_003492354.1,234,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
53.9,3.21e-15,1,363132092,47,20,55.3,10,151,A00953:711:H3W2YDSX7:4:1420:17888:21731,150,A00953:711:H3W2YDSX7:4:1420:17888:21731,83,374,WP_003492354.1,38,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363132092,21,9,57.1,72,151,A00953:711:H3W2YDSX7:4:1551:1579:2816,10,A00953:711:H3W2YDSX7:4:1551:1579:2816,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.68e-05,0,363132092,21,9,57.1,82,151,A00953:711:H3W2YDSX7:4:2127:14371:29669,144,A00953:711:H3W2YDSX7:4:2127:14371:29669,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
52.8,8.24e-15,1,363132092,49,22,53.1,4,151,A00953:711:H3W2YDSX7:4:2150:3007:10520,150,A00953:711:H3W2YDSX7:4:2150:3007:10520,91,374,WP_003492354.1,44,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,129,151,A00953:711:H3W2YDSX7:4:2275:4571:9627,67,A00953:711:H3W2YDSX7:4:2275:4571:9627,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.17e-05,0,363132092,21,9,57.1,67,127,A00953:711:H3W2YDSX7:4:2339:24894:16485,5,A00953:711:H3W2YDSX7:4:2339:24894:16485,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
23.1,0.000299,0,363132092,20,8,60.0,10,151,A00953:711:H3W2YDSX7:4:2340:30183:6480,69,A00953:711:H3W2YDSX7:4:2340:30183:6480,99,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,145,151,A00953:711:H3W2YDSX7:4:2342:5050:27806,83,A00953:711:H3W2YDSX7:4:2342:5050:27806,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363132092,21,9,57.1,63,151,A00953:711:H3W2YDSX7:4:2356:27697:9846,125,A00953:711:H3W2YDSX7:4:2356:27697:9846,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
55.5,9.16e-16,0,363132092,46,22,52.2,138,151,A00953:711:H3W2YDSX7:4:2357:25021:4335,1,A00953:711:H3W2YDSX7:4:2357:25021:4335,374,374,WP_003492354.1,329,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.05e-05,0,363132092,21,9,57.1,77,151,A00953:711:H3W2YDSX7:4:2533:30210:13103,15,A00953:711:H3W2YDSX7:4:2533:30210:13103,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363132092,21,9,57.1,140,151,A00953:711:H3W2YDSX7:4:2548:10691:4664,78,A00953:711:H3W2YDSX7:4:2548:10691:4664,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363132092,21,9,57.1,140,151,A00953:711:H3W2YDSX7:4:2559:25500:25426,78,A00953:711:H3W2YDSX7:4:2559:25500:25426,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.28e-05,0,363132092,21,9,57.1,13,141,A00953:711:H3W2YDSX7:4:2561:2266:14591,75,A00953:711:H3W2YDSX7:4:2561:2266:14591,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
59.7,2.89e-17,0,363132092,48,24,50.0,2,151,A00953:711:H3W2YDSX7:4:2623:26033:30765,145,A00953:711:H3W2YDSX7:4:2623:26033:30765,361,374,WP_003492354.1,314,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
49.3,1.39e-13,0,363132092,48,23,52.1,148,151,A00953:711:H3W2YDSX7:4:2675:25265:14779,5,A00953:711:H3W2YDSX7:4:2675:25265:14779,290,374,WP_003492354.1,243,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.23e-05,0,363132092,21,9,57.1,65,130,A00953:711:H3W2YDSX7:4:1140:2962:19805,127,A00953:711:H3W2YDSX7:4:1140:2962:19805,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,138,151,A00953:711:H3W2YDSX7:4:1165:22996:13260,76,A00953:711:H3W2YDSX7:4:1165:22996:13260,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363132092,21,9,57.1,18,151,A00953:711:H3W2YDSX7:4:1177:2980:35023,80,A00953:711:H3W2YDSX7:4:1177:2980:35023,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
54.7,1.72e-15,1,363132092,45,19,55.6,151,151,A00953:711:H3W2YDSX7:4:1223:27181:15468,17,A00953:711:H3W2YDSX7:4:1223:27181:15468,73,374,WP_003492354.1,30,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363132092,21,9,57.1,21,151,A00953:711:H3W2YDSX7:4:1262:26874:30373,83,A00953:711:H3W2YDSX7:4:1262:26874:30373,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
61.6,5.5e-18,0,363132092,48,23,52.1,2,147,A00953:711:H3W2YDSX7:4:1351:9155:28995,145,A00953:711:H3W2YDSX7:4:1351:9155:28995,113,374,WP_003492354.1,66,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
54.3,2.35e-15,1,363132092,49,24,49.0,150,151,A00953:711:H3W2YDSX7:4:1420:17888:21731,7,A00953:711:H3W2YDSX7:4:1420:17888:21731,59,374,WP_003492354.1,11,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
43.9,1.12e-11,0,363132092,44,24,45.5,151,151,A00953:711:H3W2YDSX7:4:1517:23972:19053,20,A00953:711:H3W2YDSX7:4:1517:23972:19053,170,374,WP_003492354.1,127,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363132092,21,9,57.1,88,151,A00953:711:H3W2YDSX7:4:1573:27543:1376,26,A00953:711:H3W2YDSX7:4:1573:27543:1376,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,106,151,A00953:711:H3W2YDSX7:4:1641:5565:10473,44,A00953:711:H3W2YDSX7:4:1641:5565:10473,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363132092,21,9,57.1,74,151,A00953:711:H3W2YDSX7:4:2127:14371:29669,12,A00953:711:H3W2YDSX7:4:2127:14371:29669,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
55.8,6.7e-16,1,363132092,48,22,52.1,145,151,A00953:711:H3W2YDSX7:4:2150:3007:10520,5,A00953:711:H3W2YDSX7:4:2150:3007:10520,60,374,WP_003492354.1,13,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.17e-05,0,363132092,21,9,57.1,61,127,A00953:711:H3W2YDSX7:4:2339:24894:16485,123,A00953:711:H3W2YDSX7:4:2339:24894:16485,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363132092,21,9,57.1,27,151,A00953:711:H3W2YDSX7:4:2342:5050:27806,89,A00953:711:H3W2YDSX7:4:2342:5050:27806,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363132092,21,9,57.1,89,151,A00953:711:H3W2YDSX7:4:2356:27697:9846,27,A00953:711:H3W2YDSX7:4:2356:27697:9846,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
42.4,3.95e-11,0,363132092,36,18,50.0,44,151,A00953:711:H3W2YDSX7:4:2357:25021:4335,151,A00953:711:H3W2YDSX7:4:2357:25021:4335,374,374,WP_003492354.1,339,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.61e-05,0,363132092,21,9,57.1,81,151,A00953:711:H3W2YDSX7:4:2421:13964:23453,143,A00953:711:H3W2YDSX7:4:2421:13964:23453,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363132092,21,9,57.1,36,151,A00953:711:H3W2YDSX7:4:2453:13648:36777,98,A00953:711:H3W2YDSX7:4:2453:13648:36777,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,20,151,A00953:711:H3W2YDSX7:4:2517:14036:20478,82,A00953:711:H3W2YDSX7:4:2517:14036:20478,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,19,7,63.2,82,151,A00953:711:H3W2YDSX7:4:2533:30210:13103,138,A00953:711:H3W2YDSX7:4:2533:30210:13103,98,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363132092,21,9,57.1,41,151,A00953:711:H3W2YDSX7:4:2559:25500:25426,103,A00953:711:H3W2YDSX7:4:2559:25500:25426,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.28e-05,0,363132092,21,9,57.1,129,141,A00953:711:H3W2YDSX7:4:2561:2266:14591,67,A00953:711:H3W2YDSX7:4:2561:2266:14591,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
58.9,5.43e-17,0,363132092,49,24,51.0,147,151,A00953:711:H3W2YDSX7:4:2623:26033:30765,1,A00953:711:H3W2YDSX7:4:2623:26033:30765,357,374,WP_003492354.1,309,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
39.3,4.69e-10,0,363132092,22,6,72.7,149,151,A00953:711:H3W2YDSX7:4:2626:14479:21559,84,A00953:711:H3W2YDSX7:4:2626:14479:21559,60,374,WP_003492354.1,39,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363132092,21,9,57.1,83,151,A00953:711:H3W2YDSX7:4:2646:16613:30765,21,A00953:711:H3W2YDSX7:4:2646:16613:30765,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
42.7,2.89e-11,0,363132092,42,21,50.0,26,151,A00953:711:H3W2YDSX7:4:2675:25265:14779,151,A00953:711:H3W2YDSX7:4:2675:25265:14779,292,374,WP_003492354.1,251,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363193382,21,9,57.1,10,151,A00953:711:H3W2YDSX7:4:1405:18665:14058,72,A00953:711:H3W2YDSX7:4:1405:18665:14058,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
24.6,8.3e-05,0,363193382,21,9,57.1,46,151,A00953:711:H3W2YDSX7:4:1477:7084:1517,108,A00953:711:H3W2YDSX7:4:1477:7084:1517,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363193382,21,9,57.1,104,151,A00953:711:H3W2YDSX7:4:2120:16206:7044,42,A00953:711:H3W2YDSX7:4:2120:16206:7044,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
24.3,0.000114,0,363193382,21,10,52.4,23,151,A00953:711:H3W2YDSX7:4:2220:19696:18505,85,A00953:711:H3W2YDSX7:4:2220:19696:18505,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.68e-05,0,363193382,21,9,57.1,85,151,A00953:711:H3W2YDSX7:4:2264:25581:20995,147,A00953:711:H3W2YDSX7:4:2264:25581:20995,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363193382,21,9,57.1,124,151,A00953:711:H3W2YDSX7:4:2454:1497:3803,62,A00953:711:H3W2YDSX7:4:2454:1497:3803,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363193382,21,9,57.1,130,151,A00953:711:H3W2YDSX7:4:2511:17725:25488,68,A00953:711:H3W2YDSX7:4:2511:17725:25488,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363193382,21,9,57.1,107,151,A00953:711:H3W2YDSX7:4:1226:2971:6918,45,A00953:711:H3W2YDSX7:4:1226:2971:6918,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
24.6,7.95e-05,0,363193382,20,8,60.0,149,151,A00953:711:H3W2YDSX7:4:1477:7084:1517,90,A00953:711:H3W2YDSX7:4:1477:7084:1517,99,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.61e-05,0,363193382,20,9,55.0,21,151,A00953:711:H3W2YDSX7:4:1552:9236:19993,80,A00953:711:H3W2YDSX7:4:1552:9236:19993,328,374,WP_003492354.1,309,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363193382,21,9,57.1,100,151,A00953:711:H3W2YDSX7:4:1571:26964:7357,38,A00953:711:H3W2YDSX7:4:1571:26964:7357,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363193382,21,9,57.1,11,151,A00953:711:H3W2YDSX7:4:1628:4869:37043,73,A00953:711:H3W2YDSX7:4:1628:4869:37043,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,8.33e-06,0,363193382,20,10,50.0,8,108,A00953:711:H3W2YDSX7:4:2253:19560:23375,67,A00953:711:H3W2YDSX7:4:2253:19560:23375,328,374,WP_003492354.1,309,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363193382,21,9,57.1,77,151,A00953:711:H3W2YDSX7:4:2264:25581:20995,15,A00953:711:H3W2YDSX7:4:2264:25581:20995,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
