#OTU ID	14748.MOUSE34.CAGE16.FSPFB6.S15	14748.MOUSE10.CAGE3.FSPF3XTG.S15	14748.MOUSE17.CAGE1.FSPF3XTG.S15	14748.MOUSE13.CAGE6.FSPFB6.S15	14748.MOUSE14.CAGE6.FSPFB6.S15	14748.MOUSE33.CAGE12.FSPF3XTG.S15	14748.MOUSE9.CAGE3.FSPF3XTG.S15	14748.MOUSE35.CAGE16.FSPFB6.S15	14748.MOUSE50.CAGE50.FSPF3XTG.S7	14748.MOUSE56.CAGE53.FSPF3XTG.S7	14748.MOUSE53.CAGE50.FSPF3XTG.S7	14748.MOUSE58.CAGE53.FSPF3XTG.S7	14748.MOUSE19.CAGE2.FSPF3XTG.S15	14748.MOUSE51.CAGE50.FSPF3XTG.S7	14748.MOUSE59.CAGE54.FSPFB6.S7	14748.MOUSE60.CAGE54.FSPFB6.S7	14748.MOUSE89.CAGE22.FSPF3XTG.S12	14748.MOUSE32.CAGE12.FSPF3XTG.S15	14748.MOUSE87.CAGE21.FSPF3XTG.S12	14748.MOUSE11.CAGE6.FSPFB6.S15	14748.MOUSE18.CAGE1.FSPF3XTG.S15	14748.MOUSE54.CAGE50.FSPF3XTG.S7	14748.MOUSE106.CAGE70.MSPF3XTG.S7	14748.MOUSE117.CAGE62.FSPF3XTG.S7	14748.MOUSE55.CAGE53.FSPF3XTG.S7	14748.MOUSE116.CAGE62.FSPF3XTG.S7	14748.MOUSE105.CAGE69.MSPF3XTG.S7	14748.MOUSE72.CAGE20.FSPF3XTG.S12	14748.MOUSE126.CAGE40.MSPF3XTG.S12	14748.MOUSE90.CAGE22.FSPF3XTG.S12	14748.MOUSE79.CAGE27.FSPFB6.S12	14748.MOUSE77.CAGE27.FSPFB6.S12	14748.MOUSE88.CAGE21.FSPF3XTG.S12	14748.MOUSE61.CAGE54.FSPFB6.S7	14748.MOUSE102.CAGE68.MSPF3XTG.S7	14748.MOUSE104.CAGE69.MSPF3XTG.S7	14748.MOUSE78.CAGE27.FSPFB6.S12	14748.MOUSE113.CAGE74.MSPFB6.S7	14748.MOUSE110.CAGE74.MSPFB6.S7	14748.MOUSE80.CAGE27.FSPFB6.S12	14748.MOUSE81.CAGE27.FSPFB6.S12	14748.MOUSE137.CAGE46.MSPFB6.S12	14748.MOUSE103.CAGE68.MSPF3XTG.S7	14748.MOUSE134.CAGE45.MSPFB6.S12	14748.MOUSE111.CAGE74.MSPFB6.S7	14748.MOUSE115.CAGE62.FSPF3XTG.S7	14748.MOUSE132.CAGE42.MSPF3XTG.S12	14748.MOUSE130.CAGE41.MSPF3XTG.S12	14748.MOUSE143.CAGE66.FSPFB6.S12	14748.MOUSE144.CAGE66.FSPFB6.S12	14748.MOUSE84.CAGE20.FSPF3XTG.S12	14748.MOUSE145.CAGE66.FSPFB6.S12	14748.MOUSE138.CAGE46.MSPFB6.S12	14748.MOUSE36.CAGE16.FSPFB6.S15	14748.MOUSE16.CAGE7.FSPFB6.S15	14748.MOUSE12.CAGE6.FSPFB6.S15	14748.MOUSE108.CAGE73.MSPFB6.S7	14748.MOUSE128.CAGE41.MSPF3XTG.S12	14748.MOUSE127.CAGE40.MSPF3XTG.S12	14748.MOUSE52.CAGE50.FSPF3XTG.S7	14748.MOUSE15.CAGE7.FSPFB6.S15	14748.MOUSE85.CAGE20.FSPF3XTG.S12	14748.MOUSE139.CAGE46.MSPFB6.S12	14748.MOUSE107.CAGE70.MSPF3XTG.S7	14748.MOUSE129.CAGE41.MSPF3XTG.S12	14748.MOUSE109.CAGE73.MSPFB6.S7	14748.MOUSE141.CAGE47.MSPFB6.S12	14748.MOUSE140.CAGE47.MSPFB6.S12	14748.MOUSE86.CAGE21.FSPF3XTG.S12	14748.MOUSE112.CAGE74.MSPFB6.S7	14748.MOUSE114.CAGE74.MSPFB6.S7	14748.MOUSE135.CAGE45.MSPFB6.S12	14748.MOUSE136.CAGE45.MSPFB6.S12	14748.MOUSE133.CAGE42.MSPF3XTG.S12	14748.MOUSE131.CAGE42.MSPF3XTG.S12
K00014 -  aroE; shikimate dehydrogenase [EC:1.1.1.25]	31	268	462	401	526	224	445	37	108	264	475	440	20	257	307	457	468	0	718	327	272	577	0	39	1130	288	281	528	1101	20	257	352	348	610	714	76	125	351	361	390	594	0	220	293	1295	506	485	0	0	472	181	529	663	161	346	384	242	258	403	302	774	410	635	827	8	154	275	714	407	223	241	313	324	1029	2319
"K00016 -  LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"	8	33	76	152	108	126	139	16	183	57	29	708	4	7	31	84	92	0	229	12	59	314	1	3	386	0	382	282	56	0	49	57	487	200	436	90	25	149	60	229	827	0	251	7	1770	18	251	0	0	5	143	110	279	94	18	26	51	560	68	550	69	613	43	327	10	32	141	678	270	93	47	81	125	64	1529
K00018 -  hprA; glycerate dehydrogenase [EC:1.1.1.29]	15	9	20	155	268	48	58	15	12	230	197	143	9	156	233	339	286	0	568	142	118	325	0	3	1167	9	9	384	330	17	215	439	370	444	738	31	116	194	370	185	132	0	107	33	39	292	49	0	0	304	89	127	266	91	146	182	122	20	237	234	377	103	240	484	0	157	6	25	415	194	223	13	154	326	408
"K00019 -  BDH, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00020 -  HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"	3	21	20	22	1	268	12	3	4	18	4	29	1	6	24	13	37	0	37	2	26	26	0	0	28	10	48	29	28	0	28	6	61	22	73	12	59	6	10	4	22	0	43	2	21	21	40	0	0	6	30	6	47	4	5	4	10	23	12	0	28	37	5	40	5	10	3	11	85	8	3	3	21	22	269
K00023 -  phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00024 -  mdh; malate dehydrogenase [EC:1.1.1.37]	57	666	741	665	755	659	791	67	209	393	810	529	36	513	415	742	968	0	1538	521	508	1018	1	57	1933	542	519	793	1534	45	352	699	834	1074	1829	76	149	468	893	435	596	0	357	606	406	949	1078	0	0	646	164	676	721	204	593	755	418	404	711	596	1174	507	882	1460	2	227	497	749	218	439	657	613	448	1666	1363
"K00027 -  ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"	6	260	25	71	56	29	367	13	14	30	6	329	0	14	64	14	280	0	49	298	91	3	0	0	103	54	56	56	558	0	62	33	25	17	124	7	23	66	24	80	132	0	34	80	1041	5	111	0	0	30	78	80	173	15	186	19	41	24	334	10	289	16	42	69	9	8	71	369	327	18	18	70	186	13	667
"K00029 -  E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"	97	660	812	816	1374	625	1049	102	329	872	923	727	67	704	772	1238	1484	0	2313	1053	480	1675	0	72	4330	537	514	1656	2859	71	644	1596	1621	1892	3020	176	394	896	1423	595	564	0	583	615	642	1544	1672	0	1	1262	315	1009	1459	479	932	1119	834	622	1498	1442	2016	1098	1662	2493	4	400	408	925	374	821	1105	657	567	2497	4514
K00030 -  IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0	2	24	14	15	44	3	0	0	2	2	7	0	0	0	0	2	0	3	0	60	0	0	0	10	0	48	17	4	0	0	2	9	0	12	1	2	2	5	4	9	0	0	0	129	2	43	0	0	0	0	2	23	4	0	0	2	14	4	9	3	8	2	3	2	0	2	6	0	0	2	0	4	4	55
"K00031 -  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"	3	43	413	530	459	79	134	9	24	40	36	314	6	29	60	49	34	0	84	247	85	43	0	1	167	83	96	152	41	0	127	154	24	84	158	13	93	131	48	393	624	0	53	37	1581	14	351	0	0	37	62	172	608	13	88	329	124	42	73	30	313	109	289	138	2	34	144	394	436	54	50	75	123	44	1965
"K00033 -  PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"	9	167	23	75	81	175	122	14	182	7	131	243	9	79	2	61	43	0	160	25	102	335	0	4	264	97	121	98	117	0	6	28	359	118	180	42	4	47	14	39	188	0	75	11	524	115	374	0	0	1	36	38	127	96	42	105	34	195	66	407	37	224	18	105	11	8	133	108	281	53	54	7	39	78	1949
K00034 -  gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"K00036 -  G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"	4	120	45	103	78	215	129	18	153	10	90	272	7	64	12	47	21	0	176	19	53	329	0	9	320	40	83	85	84	3	8	13	399	121	166	34	2	51	21	48	133	0	59	8	646	107	378	0	0	5	54	24	150	112	33	53	32	201	40	365	42	221	14	109	3	14	103	131	320	70	68	18	31	75	2654
K00038 -  E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	1	0	0	0	8	4	0	0	9	0	4	113	0	0	0	15	4	0	7	0	0	13	0	1	112	0	29	12	2	0	2	0	13	39	26	1	0	0	0	9	31	0	11	0	0	0	28	0	0	0	7	0	0	0	0	0	1	20	0	22	1	14	0	0	1	0	1	3	3	0	0	0	8	6	12
K00040 -  uxuB; fructuronate reductase [EC:1.1.1.57]	0	2	0	0	0	258	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	77	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	175
K00041 -  uxaB; tagaturonate reductase [EC:1.1.1.58]	24	77	69	201	449	127	107	15	9	344	281	212	17	303	270	443	445	0	881	274	116	561	0	14	1695	79	20	581	787	27	331	637	476	606	1326	44	160	424	663	225	179	0	143	75	142	525	70	0	0	491	102	218	483	92	269	359	247	44	476	421	635	263	513	746	6	193	92	152	195	382	439	59	143	653	744
"K00042 -  garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"	1	0	0	2	0	150	10	2	2	8	0	21	0	0	22	9	0	0	2	0	2	2	0	0	13	2	0	0	0	0	28	6	5	16	4	0	18	4	10	4	14	0	2	2	17	6	17	0	0	0	6	2	30	4	2	0	0	4	4	0	4	1	0	0	4	6	2	11	18	6	3	3	12	1	74
"K00045 -  E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00046 -  idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	52	319	560	317	391	342	670	61	164	398	650	559	32	366	506	640	778	0	1220	330	669	709	0	48	1533	452	578	585	1090	38	215	553	613	977	1454	74	110	339	621	211	260	0	236	630	534	808	469	0	0	586	155	593	727	233	609	458	276	484	530	489	820	345	652	1271	8	187	1504	781	169	296	502	858	510	1489	655
K00048 -  fucO; lactaldehyde reductase [EC:1.1.1.77]	12	65	4	200	361	188	82	11	6	248	247	94	8	150	196	395	391	0	611	270	10	458	0	0	1279	38	29	425	565	20	233	560	475	541	823	20	99	246	372	188	163	0	88	36	431	334	104	0	0	351	97	208	338	95	235	243	141	22	351	198	534	30	313	553	4	108	90	62	61	189	286	40	63	364	1773
"K00052 -  leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"	17	385	82	315	506	444	349	15	25	293	385	304	14	293	252	349	530	0	804	348	225	527	1	16	1515	182	134	588	907	26	293	626	501	564	1194	59	126	367	545	458	702	0	194	178	1145	547	485	0	1	420	139	415	452	95	290	320	228	106	499	353	634	261	427	635	7	165	240	365	585	293	363	109	185	575	3057
K00053 -  ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	17	352	124	305	479	260	365	16	31	371	394	449	23	356	250	439	637	0	873	334	271	607	0	17	1798	141	176	667	960	23	344	725	565	638	1446	84	92	441	665	492	604	0	260	135	1552	536	1015	0	0	435	143	431	779	104	350	443	237	134	568	432	612	275	476	890	9	210	299	511	582	337	442	134	194	587	4120
K00054 -  mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	5	26	60	75	17	147	112	15	194	8	4	98	5	2	6	4	26	0	103	0	2	289	0	3	67	0	146	57	51	0	0	0	367	57	219	12	0	28	25	4	17	0	60	2	92	22	173	0	0	0	27	0	13	114	4	0	21	148	80	435	11	216	0	56	2	3	5	32	220	57	41	11	8	45	611
K00055 -  E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	1	0	3	5	7	35	2	4	8	3	3	164	1	2	8	20	11	0	7	2	0	28	0	1	155	0	36	26	4	0	0	4	14	74	31	13	0	0	0	4	60	0	22	0	0	0	52	0	0	0	11	0	4	15	0	0	0	36	1	22	0	27	2	4	0	0	6	2	17	0	0	0	14	9	24
K00057 -  gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	28	477	471	729	752	529	696	25	197	479	537	325	25	296	290	437	876	0	1572	688	376	716	0	39	1627	198	358	648	1180	51	336	742	995	531	2441	78	185	542	952	574	850	0	242	180	1189	502	1128	0	0	366	140	405	867	186	596	646	332	348	739	797	870	510	721	940	21	174	680	612	632	435	516	193	186	704	3394
"K00058 -  serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"	3	22	58	140	100	257	74	6	8	68	12	431	0	4	127	35	14	0	96	34	143	70	0	4	207	4	140	143	19	1	36	105	41	129	246	28	86	148	42	551	774	0	40	49	1828	3	703	0	0	41	43	402	373	8	14	14	66	35	31	8	98	65	73	219	13	47	240	653	328	34	65	130	108	22	3504
"K00059 -  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	102	657	1228	664	734	908	1347	132	325	590	1095	1168	52	446	710	925	1133	0	1738	532	1020	976	1	81	2173	746	1218	967	1765	51	364	722	840	1606	1775	168	177	492	829	520	821	1	417	984	1600	1043	1135	0	1	782	251	1168	1327	365	773	524	494	717	838	675	1501	818	1155	2001	10	230	1829	1552	628	400	714	1401	1134	2342	2111
K00060 -  tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	0	0	0	10	12	87	0	2	0	0	2	35	0	0	37	18	0	0	0	0	2	0	0	0	10	0	8	0	0	0	28	30	0	31	0	0	14	2	0	188	318	0	0	20	0	0	4	0	0	26	2	98	23	0	0	0	6	2	0	0	8	0	18	0	0	2	15	28	17	2	0	0	10	0	54
K00064 -  E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00065 -  kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	1	6	6	18	24	115	14	0	3	21	0	137	0	2	2	2	5	0	34	1	6	0	0	0	13	4	31	41	6	1	0	5	4	8	84	0	0	24	10	59	26	0	0	0	658	0	15	0	0	2	5	38	123	0	0	0	17	4	8	0	22	1	4	41	0	6	39	215	9	4	10	38	12	10	393
"K00067 -  rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"	72	392	600	651	854	163	772	68	157	587	850	683	41	454	499	923	1094	0	1758	646	551	1077	0	59	2505	369	574	1126	1897	53	446	971	930	1480	2184	117	245	552	954	420	423	0	338	520	630	1045	863	0	0	854	210	710	780	229	651	667	472	454	861	665	1374	510	1124	1765	9	303	538	836	298	474	657	636	580	1828	2322
K00068 -  srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	0	0	0	0	6	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	2	0	0	1	0	0	0	7	2	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	61
K00073 -  allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	0	0	0	0	2	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	81
"K00074 -  paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"	1	4	13	38	37	30	33	1	6	18	2	113	1	0	8	6	16	0	30	11	50	0	0	1	39	0	31	36	6	3	75	14	12	13	57	12	9	32	11	48	66	0	31	12	276	0	51	0	0	10	48	42	91	2	1	4	14	31	26	2	7	0	12	30	2	9	37	224	130	23	10	27	98	6	229
K00075 -  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	83	399	930	787	728	325	1103	104	386	474	794	1213	44	405	519	967	1047	0	1382	547	686	1092	0	64	2065	524	848	1156	2011	48	401	807	924	1577	1165	183	228	473	585	916	1501	0	451	679	2580	996	910	1	0	904	324	1468	1206	392	652	498	558	629	925	792	1363	722	1193	1902	15	248	718	1837	560	432	659	985	894	2093	4215
K00076 -  hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	0	2	4	5	4	38	6	0	2	1	4	2	0	0	6	2	0	0	1	2	16	26	0	0	8	0	5	2	0	0	0	0	10	2	2	4	0	1	0	0	1	0	4	0	14	0	37	0	0	2	5	1	9	0	0	0	0	0	0	0	0	5	0	2	0	0	2	0	76	5	0	0	0	0	100
"K00077 -  panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"	2	258	45	81	76	442	94	3	30	48	134	392	4	65	62	85	50	0	90	48	89	188	0	8	374	116	143	128	121	4	40	61	123	165	224	37	8	78	52	254	431	0	96	47	1058	113	817	0	0	33	50	160	247	16	35	74	40	60	26	70	59	177	55	173	3	15	120	333	194	35	59	60	65	116	2406
K00078 -  DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	0	0	10	27	12	0	8	1	0	3	0	12	0	0	2	10	2	0	13	2	9	0	0	0	14	0	0	4	0	0	28	16	6	4	7	0	5	15	2	24	74	0	2	8	441	0	88	0	0	0	21	23	95	2	0	2	16	10	8	2	0	6	12	41	5	2	92	53	32	5	42	8	38	0	1432
