#OTU ID	14748.MOUSE103.CAGE68.MSPF3XTG.S7	14748.MOUSE10.CAGE3.FSPF3XTG.S15	14748.MOUSE17.CAGE1.FSPF3XTG.S15	14748.MOUSE13.CAGE6.FSPFB6.S15	14748.MOUSE14.CAGE6.FSPFB6.S15	14748.MOUSE9.CAGE3.FSPF3XTG.S15	14748.MOUSE33.CAGE12.FSPF3XTG.S15	14748.MOUSE50.CAGE50.FSPF3XTG.S7	14748.MOUSE56.CAGE53.FSPF3XTG.S7	14748.MOUSE53.CAGE50.FSPF3XTG.S7	14748.MOUSE58.CAGE53.FSPF3XTG.S7	14748.MOUSE51.CAGE50.FSPF3XTG.S7	14748.MOUSE59.CAGE54.FSPFB6.S7	14748.MOUSE60.CAGE54.FSPFB6.S7	14748.MOUSE89.CAGE22.FSPF3XTG.S12	14748.MOUSE87.CAGE21.FSPF3XTG.S12	14748.MOUSE11.CAGE6.FSPFB6.S15	14748.MOUSE18.CAGE1.FSPF3XTG.S15	14748.MOUSE54.CAGE50.FSPF3XTG.S7	14748.MOUSE116.CAGE62.FSPF3XTG.S7	14748.MOUSE105.CAGE69.MSPF3XTG.S7	14748.MOUSE72.CAGE20.FSPF3XTG.S12	14748.MOUSE126.CAGE40.MSPF3XTG.S12	14748.MOUSE79.CAGE27.FSPFB6.S12	14748.MOUSE77.CAGE27.FSPFB6.S12	14748.MOUSE61.CAGE54.FSPFB6.S7	14748.MOUSE88.CAGE21.FSPF3XTG.S12	14748.MOUSE102.CAGE68.MSPF3XTG.S7	14748.MOUSE113.CAGE74.MSPFB6.S7	14748.MOUSE110.CAGE74.MSPFB6.S7	14748.MOUSE80.CAGE27.FSPFB6.S12	14748.MOUSE81.CAGE27.FSPFB6.S12	14748.MOUSE115.CAGE62.FSPF3XTG.S7	14748.MOUSE132.CAGE42.MSPF3XTG.S12	14748.MOUSE111.CAGE74.MSPFB6.S7	14748.MOUSE134.CAGE45.MSPFB6.S12	14748.MOUSE144.CAGE66.FSPFB6.S12	14748.MOUSE145.CAGE66.FSPFB6.S12	14748.MOUSE84.CAGE20.FSPF3XTG.S12	14748.MOUSE138.CAGE46.MSPFB6.S12	14748.MOUSE36.CAGE16.FSPFB6.S15	14748.MOUSE16.CAGE7.FSPFB6.S15	14748.MOUSE12.CAGE6.FSPFB6.S15	14748.MOUSE52.CAGE50.FSPF3XTG.S7	14748.MOUSE108.CAGE73.MSPFB6.S7	14748.MOUSE15.CAGE7.FSPFB6.S15	14748.MOUSE128.CAGE41.MSPF3XTG.S12	14748.MOUSE127.CAGE40.MSPF3XTG.S12	14748.MOUSE107.CAGE70.MSPF3XTG.S7	14748.MOUSE85.CAGE20.FSPF3XTG.S12	14748.MOUSE139.CAGE46.MSPFB6.S12	14748.MOUSE55.CAGE53.FSPF3XTG.S7	14748.MOUSE141.CAGE47.MSPFB6.S12	14748.MOUSE140.CAGE47.MSPFB6.S12	14748.MOUSE86.CAGE21.FSPF3XTG.S12	14748.MOUSE112.CAGE74.MSPFB6.S7	14748.MOUSE114.CAGE74.MSPFB6.S7	14748.MOUSE135.CAGE45.MSPFB6.S12	14748.MOUSE133.CAGE42.MSPF3XTG.S12	14748.MOUSE136.CAGE45.MSPFB6.S12	14748.MOUSE131.CAGE42.MSPF3XTG.S12
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	3	0	0	1	0	0	1	1	0	0	6	0	0	0	1	1	0	0	3	0	13	1	1	0	0	1	3	4	1	0	0	4	0	1	5	0	0	0	1	9	0	0	0	2	1	0	7	1	3	5	0	8	0	0	1	1	0	0	1	1	4
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C;s__Fusobacterium_C nucleatum_993250	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales_616009;f__Xanthomonadaceae_616009;g__Xanthomonas_A_614439;s__Xanthomonas_A_614439 fragariae_614230	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	0	1	1	0	2	0	0	0	1	0	0	0	0	2
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium longum	4	4	0	10	12	0	1	7	341	22	829	0	8	6	2	5	0	5	24	14	10	11	43	3	13	18	4	9	8	7	11	37	9	46	219	7	2	6	6	21194	7	2	7	2	385	1	3646	1906	14	7	0	13783	30	21	17	2	13	14	122	7	591
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611;f__Pseudomonadaceae;g__Pseudomonas_E_647464;s__Pseudomonas_E_647464 hunanensis	0	0	0	0	1	0	0	0	39	2	258	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	2	1	0	0	0	500	0	4	0	0	0	0	1	0	0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Clostridium_G;s__Clostridium_G tetani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis_318824	2	0	0	7	1	0	0	0	0	0	12	0	0	1	0	1	0	2	1	0	5	1	0	1	1	1	1	13	0	0	3	6	0	0	1	0	0	9	1	2	1	0	1	0	0	0	2	1	1	1	0	5	1	3	6	1	0	0	0	2	3
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium violaceum	5	1	0	0	0	1	1	0	0	0	4	0	0	0	2	1	0	0	2	0	16	2	1	1	0	2	3	5	1	0	1	5	0	2	4	0	0	1	1	0	0	0	0	3	0	0	8	0	5	5	0	3	0	0	0	1	0	0	1	1	6
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Basfia_A_736263;s__Basfia_A_736263 succiniciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_H_360604;s__Enterococcus_H_360604 faecalis	178	5	27	87	38	51	10	37	154	15	420	6	77	40	52	23	98	622	42	10	34	23	66	49	150	70	72	235	123	101	138	907	6	1743	277	58	19	117	81	136	26	35	49	56	10	60	1212	307	34	99	67	161	167	96	51	91	76	373	85	219	3902
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611;f__Pseudomonadaceae;g__Pseudomonas_E_647464;s__	0	0	0	2	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_310392;f__Bacillaceae_G_310392;g__Bacillus_A;s__Bacillus_A cereus_U_308101	2	0	1	22	5	0	1	1	1	1	24	0	0	2	0	4	0	0	3	0	7	4	0	1	2	4	6	36	0	0	6	8	0	2	4	0	0	23	1	1	2	0	1	4	0	1	5	0	2	3	0	7	1	1	3	1	1	0	0	2	7
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_310392;f__Bacillaceae_G_310392;g__Bacillus_A;s__Bacillus_A anthracis	3	0	1	30	6	0	3	2	0	0	31	0	0	2	0	5	0	0	6	0	13	6	1	1	4	4	13	55	0	0	7	13	0	4	4	0	1	36	2	3	3	0	1	6	0	1	6	0	6	6	0	10	3	3	5	2	1	0	1	3	14
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C_479931;s__Helicobacter_C_479931 hepaticus	20	3	0	0	0	18	0	0	0	2	0	1	1	0	0	1	0	6	38	5	3	0	1	0	0	0	10	1	0	0	0	0	9	382	0	0	0	0	3	0	0	0	0	1	0	0	3	0	5	26	0	0	0	0	164	0	0	0	13	0	694
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Haemophilus_B;s__Haemophilus_B ducreyi	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Desulfobacterota_G_459546;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_B_986141;s__Treponema_B_986141 denticola	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	0	4	0	0	8	0	5	12	17	9	27	0	0	0	0	16	6	4	0	0	0	0	0	0	0	4	0	4	13	1	0	4	4	0	22	4	4	4	0	8	8	0	8	0	0	54	0	0	0	4	1	170	12	0	0	0	0	3	9	16	21
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_310392;f__Bacillaceae_G_310392;g__Bacillus_A;s__	2	1	1	20	4	0	1	2	0	1	25	0	0	2	1	5	0	0	3	0	8	5	0	1	2	5	8	34	0	0	5	8	0	2	2	0	0	25	0	2	2	0	0	3	0	1	4	0	3	4	1	6	3	2	2	1	1	0	0	2	9
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_E;s__Helicobacter_E pylori_CI	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	19	0	0	0	2	0	24
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Clostridium_S_221419;s__Clostridium_S_221419 acetobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;g__Neisseria_563205;s__Neisseria meningitidis	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	1	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	2	2	0	1	0	0	0	0	0	0	0	0	1
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Escherichia_710834;s__Escherichia coli	163	124	2	2	0	5	40940	10	42	8	155	10	0	1	0	17	0	87	13	2	50	0	217	0	1	3	8	1183	4	0	0	2	2	2334	3	0	0	0	22	9866	0	0	0	5	216	0	1123	723	196	126	0	797	0	0	61	0	0	0	421	0	20143
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	72	44	59	94	28	125	164	190	3	19	93	2	0	12	25	160	1	2	326	1	172	85	75	0	0	55	461	301	39	9	13	35	25	181	131	2	0	4	40	214	126	3	1	468	28	14	217	86	70	256	0	127	8	44	261	68	53	11	62	18	655
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Yersinia;s__Yersinia pestis	0	0	0	0	0	0	512	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	13	0	0	0	0	0	27	0	0	0	0	0	15	0	0	0	0	0	0	3	1	1	2	0	6	0	0	1	0	0	0	7	0	208
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;f__Burkholderiaceae_A_580492;g__Ralstonia;s__Ralstonia pseudosolanacearum	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	1
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Clostridioides_A;s__Clostridioides_A difficile	31	0	1	1	0	1	1	0	7	1	13	1	1	0	5	3	3	0	5	0	3	5	3	4	1	4	9	28	5	3	2	46	0	158	43	1	2	4	11	9	1	0	1	1	1	1	25	6	0	7	11	7	3	3	6	14	4	1	35	16	67
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_E;s__Helicobacter_E acinonychis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	7
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Yersinia;s__Yersinia enterocolitica	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	3	1	1	0	0	2	0	0	0	0	0	0	3	0	108
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus uberis	1	0	0	0	0	0	2	0	0	4	20	0	0	0	0	0	0	0	2	0	9	1	0	0	0	1	1	2	0	0	1	2	0	0	2	0	0	0	0	5	0	0	0	1	0	0	4	1	1	3	0	34	0	0	0	0	0	0	0	1	2
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D_361233;g__Bacillus_H;s__Bacillus_H rhizosphaerae	0	0	0	20	7	0	0	0	1	0	26	0	0	2	0	3	1	0	1	0	2	7	0	1	3	4	7	35	0	0	11	10	0	0	2	0	0	37	0	1	1	0	0	0	0	1	1	0	1	1	0	6	1	3	3	1	0	1	0	2	4
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus_314176	1	0	0	6	1	0	0	0	0	0	8	0	0	0	0	1	0	0	3	0	2	1	0	0	1	1	2	10	0	0	2	2	0	0	1	0	0	7	0	1	0	0	0	1	0	0	1	0	1	1	0	36	1	1	2	0	0	0	0	2	3
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__Bacteroides_H fragilis	254	4917	807	926	1920	2615	7269	470	435	3960	695	2257	276	686	470	620	1415	1904	2772	3774	469	1086	2078	489	423	822	861	857	460	596	237	263	2747	2872	323	1343	447	610	408	2004	202	985	3030	1184	949	2068	524	324	531	1493	2108	3492	323	662	7086	456	582	632	1382	280	1761
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_505895;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum magneticum	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Sodalis_A;s__Sodalis_A glossinidius	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus	0	0	0	7	3	0	0	0	0	0	18	0	0	0	0	1	0	2	1	0	3	1	0	0	1	1	3	10	0	0	2	4	0	0	2	2	1	13	0	3	1	0	1	0	0	0	3	0	1	3	1	8	1	1	0	0	0	4	0	35	3
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	646	412	397	670	163	908	1133	1733	25	110	926	26	13	113	217	1541	7	14	2570	2	1153	776	527	3	12	431	4176	1529	300	76	64	293	197	1270	990	21	0	6	334	168	1128	35	15	4385	208	73	1603	559	686	2303	0	1168	66	353	2241	536	317	108	455	158	5924
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus_D;s__Brevibacillus_D brevis_D	1	0	1	2	1	1	2	1	0	0	0	0	0	0	1	1	0	0	4	0	3	1	1	0	0	0	5	5	1	0	0	0	0	3	1	0	0	0	0	0	2	0	0	5	0	0	3	1	1	3	0	0	0	1	4	1	1	0	0	0	8
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
