sample_name,anonymized_name,cohort,collection_timestamp,description,dna_extracted,elevation,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_mass_index,host_body_product,host_body_site,host_common_name,host_life_stage,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,intervention,latitude,longitude,mouse_strain,physical_specimen_location,physical_specimen_remaining,qiita_study_id,sample_type,scientific_name,sex,strain_sex,taxon_id,title,tube_id
14957.BLANK.FAD.3.12A,1,not applicable,2020-23-4,BLANK.FAD.3.12A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.12B,1,not applicable,2020-23-4,BLANK.FAD.3.12B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.12C,1,not applicable,2020-23-4,BLANK.FAD.3.12C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.12D,1,not applicable,2020-23-4,BLANK.FAD.3.12D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.12E,1,not applicable,2020-23-4,BLANK.FAD.3.12E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.12F,1,not applicable,2020-23-4,BLANK.FAD.3.12F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.12G,1,not applicable,2020-23-4,BLANK.FAD.3.12G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.12H,1,not applicable,2020-23-4,BLANK.FAD.3.12H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.12H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3A,1,not applicable,2020-23-4,BLANK.FAD.3.3A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3B,1,not applicable,2020-23-4,BLANK.FAD.3.3B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3C,1,not applicable,2020-23-4,BLANK.FAD.3.3C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3D,1,not applicable,2020-23-4,BLANK.FAD.3.3D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3E,1,not applicable,2020-23-4,BLANK.FAD.3.3E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3F,1,not applicable,2020-23-4,BLANK.FAD.3.3F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3G,1,not applicable,2020-23-4,BLANK.FAD.3.3G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.3H,1,not applicable,2020-23-4,BLANK.FAD.3.3H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.3H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.7B,1,not applicable,2020-23-4,BLANK.FAD.3.7B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.7B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.7C,1,not applicable,2020-23-4,BLANK.FAD.3.7C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.7C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.7D,1,not applicable,2020-23-4,BLANK.FAD.3.7D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.7D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.7E,1,not applicable,2020-23-4,BLANK.FAD.3.7E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.7E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.7F,1,not applicable,2020-23-4,BLANK.FAD.3.7F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.7F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.7G,1,not applicable,2020-23-4,BLANK.FAD.3.7G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.7G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.7H,1,not applicable,2020-23-4,BLANK.FAD.3.7H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.7H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8A,1,not applicable,2020-23-4,BLANK.FAD.3.8A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8B,1,not applicable,2020-23-4,BLANK.FAD.3.8B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8C,1,not applicable,2020-23-4,BLANK.FAD.3.8C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8D,1,not applicable,2020-23-4,BLANK.FAD.3.8D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8E,1,not applicable,2020-23-4,BLANK.FAD.3.8E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8F,1,not applicable,2020-23-4,BLANK.FAD.3.8F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8G,1,not applicable,2020-23-4,BLANK.FAD.3.8G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.8H,1,not applicable,2020-23-4,BLANK.FAD.3.8H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.8H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.9A,1,not applicable,2020-23-4,BLANK.FAD.3.9A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.9A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.9B,1,not applicable,2020-23-4,BLANK.FAD.3.9B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.9B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
