#OTU ID	14957.MOUSE67.CAGE112.FSPFWT.S5	14957.MOUSE74.CAGE114.FSPFWT.S5	14957.MOUSE25.CAGE79.MSPFWT.S8	14957.MOUSE28.CAGE80.MSFPWT.S8	14957.MOUSE46.CAGE98.FSPFWT.S5	14957.MOUSE20.CAGE78.MSPFHET.S8	14957.MOUSE69.CAGE112.FSPFWT.S5	14957.MOUSE90.CAGE144.MSPFWT.S5	14957.MOUSE68.CAGE112.FSPFWT.S5	14957.MOUSE21.CAGE78.MSPFHET.S8	14957.MOUSE33.CAGE96.FSPFHET.S5	14957.MOUSE37.CAGE97.FSPFHET.S5	14957.MOUSE38.CAGE97.FSPFHET.S5	14957.MOUSE82.CAGE142.MSPFWT.S5	14957.MOUSE30.CAGE80.MSFPWT.S8	14957.MOUSE83.CAGE142.MSPFWT.S5	14957.MOUSE17.CAGE77.MSPFHET.S8	14957.MOUSE47.CAGE98.FSPFWT.S5	14957.MOUSE29.CAGE80.MSFPWT.S8	14957.MOUSE87.CAGE144.MSPFWT.S5	14957.MOUSE88.CAGE144.MSPFWT.S5	14957.MOUSE89.CAGE144.MSPFWT.S5	14957.MOUSE15.CAGE77.MSPFHET.S8	14957.MOUSE26.CAGE79.MSPFWT.S8	14957.MOUSE75.CAGE114.FSPFWT.S5	14957.MOUSE27.CAGE80.MSFPWT.S8	14957.MOUSE45.CAGE98.FSPFWT.S5	14957.MOUSE34.CAGE96.FSPFHET.S5	14957.MOUSE70.CAGE113.FSPFHET.S5	14957.MOUSE94.CAGE148.FSPFHET.S8	14957.MOUSE23.CAGE79.MSPFWT.S8	14957.MOUSE71.CAGE113.FSPFHET.S5	14957.MOUSE35.CAGE97.FSPFHET.S5	14957.MOUSE72.CAGE113.FSPFHET.S5	14957.MOUSE95.CAGE148.FSPFHET.S8	14957.MOUSE96.CAGE148.FSPFHET.S8	14957.MOUSE24.CAGE79.MSPFWT.S8	14957.MOUSE36.CAGE97.FSPFHET.S5	14957.MOUSE73.CAGE114.FSPFWT.S5	14957.MOUSE91.CAGE144.MSPFWT.S5	14957.MOUSE107.CAGE154.FSPFHET.S8	14957.MOUSE113.CAGE162.FSPFWT.S8	14957.MOUSE108.CAGE173.MSPFWT.S8	14957.MOUSE122.CAGE184.MSPFHETS5	14957.MOUSE104.CAGE136.MSPFWT.S8	14957.MOUSE139.CAGE145.FSPFWT.S8	14957.MOUSE124.CAGE185.MSPFWT.S5	14957.MOUSE103.CAGE136.MSPFWT.S8	14957.MOUSE114.CAGE162.FSPFWT.S8	14957.MOUSE100.CAGE151.MSPFWT.S8	14957.MOUSE115.CAGE175.MSPFHET.S5	14957.MOUSE135.CAGE145.FSPFWT.S8	14957.MOUSE136.CAGE145.FSPFWT.S8	14957.MOUSE98.CAGE150.FSPFHET.S8	14957.MOUSE116.CAGE175.MSPFHET.S5	14957.MOUSE137.CAGE145.FSPFWT.S8	14957.MOUSE121.CAGE184.MSPFHETS5	14957.MOUSE138.CAGE145.FSPFWT.S8	14957.MOUSE131.CAGE189.MSPFHET.S5	14957.MOUSE109.CAGE173.MSPFWT.S8	14957.MOUSE97.CAGE150.FSPFHET.S8	14957.MOUSE132.CAGE189.MSPFHET.S5	14957.MOUSE106.CAGE154.FSPFHET.S8	14957.MOUSE130.CAGE189.MSPFHET.S5	14957.MOUSE126.CAGE185.MSPFWT.S5	14957.MOUSE125.CAGE185.MSPFWT.S5
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Clostridium_G;s__Clostridium_G tetani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis_318824	1	0	1	0	1	2	1	1	1	0	0	0	0	1	1	0	4	0	1	2	1	0	2	4	0	0	1	1	1	1	0	1	0	0	4	1	1	0	2	0	0	0	0	0	1	1	0	1	1	1	1	2	1	0	4	0	1	0	0	1	0	0	1	3	3	1
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium violaceum	1	0	1	1	1	0	0	0	1	0	2	0	1	1	1	1	1	1	1	0	0	0	1	4	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	2	0	0	1	1	1	1	1	0	1	1	2	0	1	1	0	0	1	1	2
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_H_360604;s__Enterococcus_H_360604 faecalis	79	17	32	35	46	79	53	64	74	135	37	88	35	98	29	53	55	42	104	197	68	62	67	42	15	25	75	160	185	216	139	90	12	126	222	189	39	83	89	30	108	213	115	9	38	29	53	56	138	101	28	234	69	30	191	18	90	16	40	837	92	312	61	49	740	246
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611;f__Pseudomonadaceae;g__Pseudomonas_E_647464;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_310392;f__Bacillaceae_G_310392;g__Bacillus_A;s__Bacillus_A cereus_U_308101	0	0	2	1	2	0	0	0	0	2	1	0	1	0	1	0	5	1	2	0	0	0	6	8	0	2	1	1	1	0	1	1	0	1	0	0	4	0	1	0	0	0	0	1	1	2	0	0	0	0	1	2	4	0	0	2	0	2	0	0	0	0	0	0	1	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_310392;f__Bacillaceae_G_310392;g__Bacillus_A;s__Bacillus_A anthracis	0	0	5	0	3	0	0	0	1	3	1	0	1	0	1	0	9	1	4	0	0	0	9	13	0	2	1	0	0	0	3	1	0	2	0	0	5	0	2	0	0	0	0	0	0	1	0	2	0	0	2	3	4	1	0	2	1	1	0	0	0	0	0	0	1	1
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_B_986141;s__Treponema_B_986141 denticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	16	4	0	0	0	8	0	0	0	4	0	0	4	0	0	28	8	0	0	36	9	0	0	0	4	0	0	4	0	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_310392;f__Bacillaceae_G_310392;g__Bacillus_A;s__	0	0	3	1	2	1	0	0	0	2	1	0	1	0	1	0	6	1	2	0	0	0	8	8	0	2	1	0	1	0	2	0	1	1	0	0	6	0	1	0	0	0	0	0	1	1	0	1	0	0	1	2	5	0	0	2	1	1	0	0	0	0	0	0	1	1
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Clostridium_S_221419;s__Clostridium_S_221419 acetobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;g__Neisseria_563205;s__Neisseria meningitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Escherichia_710834;s__Escherichia coli	4	6	8	2	5	1	9	0	3	2	7	2	4	9	0	0	2	2	4	4	1	0	0	14	3	28	2	3	62	27	16	28	17	36	0	2	5	23	1439	3	1	20	5	0	8	2	0	23	0	36	28	27	25	0	2	8	0	1	0	21	0	1	0	2	19	2
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	0	0	1	1	1	0	0	0	0	0	0	0	0	18	3	70	2	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	1	0	6	2	37	21	0	1	1	61	10	22	0	6	31	14	21	15	0	0	39	0	20	18	13
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Yersinia;s__Yersinia pestis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;f__Burkholderiaceae_A_580492;g__Ralstonia;s__Ralstonia pseudosolanacearum	1	0	1	0	1	2	4	1	2	5	2	0	0	0	1	1	3	1	2	2	0	2	4	6	0	1	2	2	2	5	3	2	1	4	6	3	4	2	0	1	1	0	0	0	2	5	1	0	3	1	0	2	1	1	0	2	1	0	0	1	1	1	1	0	8	4
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Clostridioides_A;s__Clostridioides_A difficile	39	14	28	13	30	43	20	26	25	26	28	34	7	30	14	25	17	32	33	93	46	34	35	6	1	5	39	73	84	68	18	41	14	55	72	121	22	39	91	18	10	10	6	2	18	6	17	8	12	25	10	33	9	7	62	4	11	5	6	49	11	69	7	8	89	116
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Yersinia;s__Yersinia enterocolitica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus uberis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D_361233;g__Bacillus_H;s__Bacillus_H rhizosphaerae	1	0	5	1	4	0	0	0	1	3	1	1	1	0	2	0	9	1	6	0	0	0	10	6	1	4	0	0	0	0	2	1	1	2	0	1	8	1	1	0	0	0	0	1	1	2	0	1	0	0	2	4	4	0	0	2	0	1	0	0	0	0	0	0	1	2
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus_314176	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	3	0	0	0	0	0	2
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__Bacteroides_H fragilis	1095	1715	210	273	845	221	1046	3429	2265	136	3227	1470	614	1312	197	987	1117	1136	251	701	4535	4501	765	878	999	428	553	1418	1991	3217	474	1221	2274	1315	1714	2393	663	1454	8960	3667	979	1227	3283	671	919	2454	9900	827	782	2442	595	1331	1415	847	352	1021	1334	2376	873	938	503	1026	821	698	2178	8539
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_505895;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum magneticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus	0	0	2	0	1	0	0	3	0	0	0	1	1	0	0	0	1	0	1	1	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	1	0	1	3
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	5	42	13	3	9	0	1	0	0	8	3	0	3	144	17	503	59	17	13	0	4	3	90	212	2	10	0	0	0	0	8	1	0	4	0	0	34	7	79	0	2	90	20	62	3	195	134	2	92	35	346	47	138	38	30	204	74	164	93	9	3	234	16	158	86	97
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus_D;s__Brevibacillus_D brevis_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila_A_384525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium adolescentis	1	0	14	5	7	2	0	6	1	5	16	1	3	1	14	7	30	0	10	0	2	1	26	38	5	7	1	1	252	1	6	2	14	199	0	1	14	691	8204	2	1	1	0	3	4	3	2	6	0	9	8	1	6	11	0	4	12	3	3	7	11	2	1	2	5	5
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859423;s__Porphyromonas_A_859423 gingivalis	19	15	3	12	25	6	8	9	20	8	25	10	18	21	10	41	16	23	11	4	19	21	18	26	25	30	19	11	12	13	9	13	20	11	9	16	8	15	32	21	34	26	33	35	23	36	146	20	19	33	90	99	84	26	24	124	90	67	69	25	26	39	19	64	127	297
d__Bacteria;p__Firmicutes_B_370520;c__Desulfotomaculia_370520;o__Desulfotomaculales_370520;f__Pelotomaculaceae_370520;g__Pelotomaculum_C_370520;s__Pelotomaculum thermopropionicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus_B;s__Macrococcus_B caseolyticus	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	3	3	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__Azobacteroides;s__Azobacteroides pseudotrichonymphae_B	1	0	0	0	2	0	0	0	1	0	1	1	2	1	1	1	1	2	1	0	1	1	1	2	1	3	1	0	1	1	1	1	2	1	0	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	2	1	2	2	1	2	3	2
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus_C_445821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia sp001808955	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	4	2	1	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	3	0	2	27	4	2	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__Bacteroides_H thetaiotaomicron	59444	96607	7224	9052	44053	8507	62485	187789	135349	5159	201074	81044	33297	63505	4785	47052	44307	61203	4720	41456	260899	279245	28364	18554	55925	7084	29055	88216	112538	180848	13326	72873	129496	67419	109239	132265	21027	63027	151074	221180	47605	67544	181164	36179	42211	134068	640350	41749	37606	126949	24759	69863	68102	45924	20372	53992	69986	135497	46659	49235	25346	55203	43724	32642	108436	450453
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_D_310495;f__Amphibacillaceae;g__Oceanobacillus;s__Oceanobacillus iheyensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_504705;f__Xanthobacteraceae_503485;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens	0	0	0	2	1	4	0	1	0	0	0	2	0	0	1	2	4	0	1	0	0	1	2	3	0	2	1	2	0	1	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	2
